round_id,reaction_key,Catalyst_Ar_grp,Predicted ee,stop_hit,Imine,Nucleophile
1,"('(E)-Iminium 138', 'N36')",L14,88.80676,False,(E)-Iminium 138,N36
1,"('(E)-Iminium 121', 'N35')",L14,79.52039,False,(E)-Iminium 121,N35
1,"('(Z)-Iminium 10', 'N12')",L14,97.025406,True,(Z)-Iminium 10,N12
1,"('(E)-Iminium 103', 'N41')",L14,86.22336,False,(E)-Iminium 103,N41
1,"('(E)-Iminium 61', 'N40')",L14,85.931206,False,(E)-Iminium 61,N40
1,"('(E)-Iminium 86', 'N41')",L14,97.65596,True,(E)-Iminium 86,N41
1,"('(E)-Iminium 72', 'N37')",L14,83.172714,False,(E)-Iminium 72,N37
1,"('(Z)-Iminium 153', 'N36')",L14,53.39137,False,(Z)-Iminium 153,N36
1,"('(E)-Iminium 130', 'N34')",L14,88.0745,False,(E)-Iminium 130,N34
1,"('(E)-Iminium 114', 'N32')",L14,93.44796,True,(E)-Iminium 114,N32
2,"('(E)-Iminium 138', 'N36')",L11,91.9656,True,(E)-Iminium 138,N36
2,"('(E)-Iminium 121', 'N35')",L11,77.07919,False,(E)-Iminium 121,N35
2,"('(E)-Iminium 103', 'N41')",L11,57.441566,False,(E)-Iminium 103,N41
2,"('(E)-Iminium 61', 'N40')",L11,65.65613,False,(E)-Iminium 61,N40
2,"('(E)-Iminium 72', 'N37')",L11,82.93423,False,(E)-Iminium 72,N37
2,"('(Z)-Iminium 153', 'N36')",L11,46.1364,False,(Z)-Iminium 153,N36
2,"('(E)-Iminium 130', 'N34')",L11,89.106544,False,(E)-Iminium 130,N34
3,"('(E)-Iminium 121', 'N35')",L10,90.058105,True,(E)-Iminium 121,N35
3,"('(E)-Iminium 103', 'N41')",L10,31.051704,False,(E)-Iminium 103,N41
3,"('(E)-Iminium 61', 'N40')",L10,81.48309,False,(E)-Iminium 61,N40
3,"('(E)-Iminium 72', 'N37')",L10,88.31592,False,(E)-Iminium 72,N37
3,"('(Z)-Iminium 153', 'N36')",L10,30.338598,False,(Z)-Iminium 153,N36
3,"('(E)-Iminium 130', 'N34')",L10,93.13131,True,(E)-Iminium 130,N34
4,"('(E)-Iminium 103', 'N41')",L9,33.31642,False,(E)-Iminium 103,N41
4,"('(E)-Iminium 61', 'N40')",L9,54.149097,False,(E)-Iminium 61,N40
4,"('(E)-Iminium 72', 'N37')",L9,67.68804,False,(E)-Iminium 72,N37
4,"('(Z)-Iminium 153', 'N36')",L9,40.50928,False,(Z)-Iminium 153,N36
5,"('(E)-Iminium 103', 'N41')",L12,40.964718,False,(E)-Iminium 103,N41
5,"('(E)-Iminium 61', 'N40')",L12,64.36842,False,(E)-Iminium 61,N40
5,"('(E)-Iminium 72', 'N37')",L12,79.52125,False,(E)-Iminium 72,N37
5,"('(Z)-Iminium 153', 'N36')",L12,33.73114,False,(Z)-Iminium 153,N36
6,"('(E)-Iminium 103', 'N41')",L7,42.450027,False,(E)-Iminium 103,N41
6,"('(E)-Iminium 61', 'N40')",L7,58.736866,False,(E)-Iminium 61,N40
6,"('(E)-Iminium 72', 'N37')",L7,68.628586,False,(E)-Iminium 72,N37
6,"('(Z)-Iminium 153', 'N36')",L7,22.14602,False,(Z)-Iminium 153,N36
7,"('(E)-Iminium 103', 'N41')",L16,12.047315,False,(E)-Iminium 103,N41
7,"('(E)-Iminium 61', 'N40')",L16,55.01647,False,(E)-Iminium 61,N40
7,"('(E)-Iminium 72', 'N37')",L16,64.687515,False,(E)-Iminium 72,N37
7,"('(Z)-Iminium 153', 'N36')",L16,33.065422,False,(Z)-Iminium 153,N36
8,"('(E)-Iminium 103', 'N41')",L15,14.623505,False,(E)-Iminium 103,N41
8,"('(E)-Iminium 61', 'N40')",L15,54.58897,False,(E)-Iminium 61,N40
8,"('(E)-Iminium 72', 'N37')",L15,69.19683,False,(E)-Iminium 72,N37
8,"('(Z)-Iminium 153', 'N36')",L15,16.679113,False,(Z)-Iminium 153,N36
